Comentario|EhPositivo
Excelente atendimento e produto|1
Otimo produto, chegou rapido|1
Excelente atendimento e produto|1
Funcionou perfeitamente|1
Chegou com defeito, experiencia negativa|0
Produto ruim, nao funcionou direito|0
Atendimento pessimo|0
Adorei a qualidade, voltarei a comprar|1
Produto ruim, nao funcionou direito|0
Qualidade muito baixa|0
Nao recomendo, muito insatisfeito|0
Excelente atendimento e produto|1
Veio quebrado e mal embalado|0
Entrega rapida e produto de qualidade|1
Chegou com defeito, experiencia negativa|0
Superou minhas expectativas|1
Satisfeito com a compra|1
Superou minhas expectativas|1
Chegou com defeito, experiencia negativa|0
Satisfeito com a compra|1
Nao corresponde a descricao|0
Qualidade muito baixa|0
Pior compra que ja fiz|0
Adorei a qualidade, voltarei a comprar|1
Atendimento pessimo|0
Chegou com defeito, experiencia negativa|0
Pior compra que ja fiz|0
Fiquei decepcionado|0
Fiquei decepcionado|0
Qualidade muito baixa|0
Veio quebrado e mal embalado|0
Funcionou perfeitamente|1
Atendimento pessimo|0
Muito bom, recomendo a todos|1
Satisfeito com a compra|1
Veio quebrado e mal embalado|0
Muito bom, recomendo a todos|1
Fiquei decepcionado|0
Entrega rapida e produto de qualidade|1
Pior compra que ja fiz|0
Funcionou perfeitamente|1
Tudo conforme o esperado|1
Nao recomendo, muito insatisfeito|0
Pior compra que ja fiz|0
Pior compra que ja fiz|0
Pior compra que ja fiz|0
Superou minhas expectativas|1
Adorei a qualidade, voltarei a comprar|1
Adorei a qualidade, voltarei a comprar|1
Veio quebrado e mal embalado|0
Otimo produto, chegou rapido|1
Veio quebrado e mal embalado|0
Adorei a qualidade, voltarei a comprar|1
Fiquei decepcionado|0
Qualidade muito baixa|0
Tudo conforme o esperado|1
Pior compra que ja fiz|0
Adorei a qualidade, voltarei a comprar|1
Produto ruim, nao funcionou direito|0
Satisfeito com a compra|1
Entrega rapida e produto de qualidade|1
Muito bom, recomendo a todos|1
Nao corresponde a descricao|0
Superou minhas expectativas|1
Adorei a qualidade, voltarei a comprar|1
Nao corresponde a descricao|0
Superou minhas expectativas|1
Veio quebrado e mal embalado|0
Satisfeito com a compra|1
Muito bom, recomendo a todos|1
Veio quebrado e mal embalado|0
Adorei a qualidade, voltarei a comprar|1
Atendimento pessimo|0
Otimo produto, chegou rapido|1
Produto excelente, recomendo|1
Demorou muito para chegar|0
Superou minhas expectativas|1
Atendimento pessimo|0
Entrega rapida e produto de qualidade|1
Superou minhas expectativas|1
Superou minhas expectativas|1
Muito bom, recomendo a todos|1
Adorei a qualidade, voltarei a comprar|1
Qualidade muito baixa|0
Muito bom, recomendo a todos|1
Fiquei decepcionado|0
Excelente atendimento e produto|1
Demorou muito para chegar|0
Tudo conforme o esperado|1
Muito bom, recomendo a todos|1
Excelente atendimento e produto|1
Muito bom, recomendo a todos|1
Chegou com defeito, experiencia negativa|0
Produto excelente, recomendo|1
Superou minhas expectativas|1
Entrega rapida e produto de qualidade|1
Funcionou perfeitamente|1
Adorei a qualidade, voltarei a comprar|1
Atendimento pessimo|0
Qualidade muito baixa|0
Superou minhas expectativas|1
Entrega rapida e produto de qualidade|1
Adorei a qualidade, voltarei a comprar|1
Otimo produto, chegou rapido|1
Satisfeito com a compra|1
Excelente atendimento e produto|1
Produto ruim, nao funcionou direito|0
Entrega rapida e produto de qualidade|1
Funcionou perfeitamente|1
Fiquei decepcionado|0
Muito bom, recomendo a todos|1
Produto ruim, nao funcionou direito|0
Funcionou perfeitamente|1
Superou minhas expectativas|1
Atendimento pessimo|0
Produto excelente, recomendo|1
Pior compra que ja fiz|0
Qualidade muito baixa|0
Satisfeito com a compra|1
Chegou com defeito, experiencia negativa|0
Satisfeito com a compra|1
Adorei a qualidade, voltarei a comprar|1
Chegou com defeito, experiencia negativa|0
Nao corresponde a descricao|0
Muito bom, recomendo a todos|1
Muito bom, recomendo a todos|1
Excelente atendimento e produto|1
Produto excelente, recomendo|1
Produto excelente, recomendo|1
Atendimento pessimo|0
Muito bom, recomendo a todos|1
Muito bom, recomendo a todos|1
Veio quebrado e mal embalado|0
Demorou muito para chegar|0
Funcionou perfeitamente|1
Superou minhas expectativas|1
Excelente atendimento e produto|1
Tudo conforme o esperado|1
Superou minhas expectativas|1
Satisfeito com a compra|1
Produto ruim, nao funcionou direito|0
Tudo conforme o esperado|1
Adorei a qualidade, voltarei a comprar|1
Pior compra que ja fiz|0
Produto ruim, nao funcionou direito|0
Otimo produto, chegou rapido|1
Otimo produto, chegou rapido|1
Nao corresponde a descricao|0
Excelente atendimento e produto|1
Funcionou perfeitamente|1
Excelente atendimento e produto|1
Excelente atendimento e produto|1
Satisfeito com a compra|1
Nao recomendo, muito insatisfeito|0
Entrega rapida e produto de qualidade|1
Qualidade muito baixa|0
Superou minhas expectativas|1
Nao recomendo, muito insatisfeito|0
Nao recomendo, muito insatisfeito|0
Qualidade muito baixa|0
Atendimento pessimo|0
Qualidade muito baixa|0
Produto ruim, nao funcionou direito|0
Nao corresponde a descricao|0
Adorei a qualidade, voltarei a comprar|1
Produto excelente, recomendo|1
Produto excelente, recomendo|1
Tudo conforme o esperado|1
Nao recomendo, muito insatisfeito|0
Chegou com defeito, experiencia negativa|0
Superou minhas expectativas|1
Nao recomendo, muito insatisfeito|0
Excelente atendimento e produto|1
Qualidade muito baixa|0
Nao recomendo, muito insatisfeito|0
Chegou com defeito, experiencia negativa|0
Nao recomendo, muito insatisfeito|0
Qualidade muito baixa|0
Produto excelente, recomendo|1
Qualidade muito baixa|0
Veio quebrado e mal embalado|0
Muito bom, recomendo a todos|1
Funcionou perfeitamente|1
Muito bom, recomendo a todos|1
Fiquei decepcionado|0
Fiquei decepcionado|0
Muito bom, recomendo a todos|1
Superou minhas expectativas|1
Entrega rapida e produto de qualidade|1
Nao corresponde a descricao|0
Tudo conforme o esperado|1
Atendimento pessimo|0
Entrega rapida e produto de qualidade|1
Demorou muito para chegar|0
Produto excelente, recomendo|1
Entrega rapida e produto de qualidade|1
Demorou muito para chegar|0
Produto ruim, nao funcionou direito|0
Superou minhas expectativas|1
Pior compra que ja fiz|0
Chegou com defeito, experiencia negativa|0
Tudo conforme o esperado|1
Funcionou perfeitamente|1
Qualidade muito baixa|0
Superou minhas expectativas|1
Excelente atendimento e produto|1
Fiquei decepcionado|0
Qualidade muito baixa|0
Chegou com defeito, experiencia negativa|0
Demorou muito para chegar|0
Superou minhas expectativas|1
Excelente atendimento e produto|1
Satisfeito com a compra|1
Otimo produto, chegou rapido|1
Atendimento pessimo|0
Atendimento pessimo|0
Tudo conforme o esperado|1
Pior compra que ja fiz|0
Funcionou perfeitamente|1
Excelente atendimento e produto|1
Produto excelente, recomendo|1
Nao corresponde a descricao|0
Excelente atendimento e produto|1
Veio quebrado e mal embalado|0
Nao recomendo, muito insatisfeito|0
Veio quebrado e mal embalado|0
Chegou com defeito, experiencia negativa|0
Entrega rapida e produto de qualidade|1
Chegou com defeito, experiencia negativa|0
Satisfeito com a compra|1
Pior compra que ja fiz|0
Pior compra que ja fiz|0
Excelente atendimento e produto|1
Entrega rapida e produto de qualidade|1
Atendimento pessimo|0
Produto ruim, nao funcionou direito|0
Produto ruim, nao funcionou direito|0
Nao corresponde a descricao|0
Atendimento pessimo|0
Produto excelente, recomendo|1
Qualidade muito baixa|0
Adorei a qualidade, voltarei a comprar|1
Adorei a qualidade, voltarei a comprar|1
Satisfeito com a compra|1
Produto ruim, nao funcionou direito|0
Nao corresponde a descricao|0
Pior compra que ja fiz|0
Muito bom, recomendo a todos|1
Demorou muito para chegar|0
Pior compra que ja fiz|0
Fiquei decepcionado|0
Entrega rapida e produto de qualidade|1
Qualidade muito baixa|0
Qualidade muito baixa|0
Adorei a qualidade, voltarei a comprar|1
Produto ruim, nao funcionou direito|0
Superou minhas expectativas|1
Muito bom, recomendo a todos|1
Pior compra que ja fiz|0
Chegou com defeito, experiencia negativa|0
Funcionou perfeitamente|1
Atendimento pessimo|0
Produto excelente, recomendo|1
Demorou muito para chegar|0
Entrega rapida e produto de qualidade|1
Fiquei decepcionado|0
Pior compra que ja fiz|0
Tudo conforme o esperado|1
Qualidade muito baixa|0
Tudo conforme o esperado|1
Pior compra que ja fiz|0
Entrega rapida e produto de qualidade|1
Funcionou perfeitamente|1
Veio quebrado e mal embalado|0
Satisfeito com a compra|1
Produto ruim, nao funcionou direito|0
Demorou muito para chegar|0
Veio quebrado e mal embalado|0
Adorei a qualidade, voltarei a comprar|1
Nao corresponde a descricao|0
Veio quebrado e mal embalado|0
Pior compra que ja fiz|0
Satisfeito com a compra|1
Entrega rapida e produto de qualidade|1
Chegou com defeito, experiencia negativa|0
Fiquei decepcionado|0
Excelente atendimento e produto|1
Nao corresponde a descricao|0
Fiquei decepcionado|0
